deleteDone,0
deleteDoneDisjunct,1
deleteDangling,2
deleteUnmatchable,3
peelAndSplitUniversalConditionalTarget,4
splitDisjunctiveHypothesis,5
splitDisjunctiveTarget,6
peelBareUniversalTarget,7
removeTarget,8
collapseSubtableauTarget,9
forwardsReasoning,10
forwardsLibraryReasoning,11
expandPreExistentialHypothesis,12
elementaryExpansionOfHypothesis,13
backwardsReasoning,14
backwardsLibraryReasoning,15
elementaryExpansionOfTarget,16
expandPreUniversalTarget,17
solveBullets,18
automaticRewrite,19
unlockExistentialUniversalConditionalTarget,20
unlockExistentialTarget,21
expandPreExistentialTarget,22
convertDiamondToBullet,23
rewriteVariableVariableEquality,24
rewriteVariableTermEquality,25
